nombre;estilo;og;abv;ibu;color_srm;litros;publicada;autor;url
Lote 4-23 APA;01B - American Lager (BJCP 2015);1.03;2.95;0;3.5272483931700194;150;2023-10-21;Pablo Medina;https://www.brew-o-matic.com.ar/#/recipe/clone/Lote423APA-5249cb644b1137475300016a-1697902349284
Pilsen del Coironal;01B - American Lager (BJCP 2015);1.061;6.55;13.5;5.0517959598690805;110;2026-09-09;Joaquin Gre;https://www.brew-o-matic.com.ar/#/recipe/clone/PilsendelCoironal-6a94cc7599a5cccc4db7426e-1788913992582
Pseudo Lager;01B - American Lager (BJCP 2015);1.049;5.26;14.1;2.98825378141599;50;2024-09-06;Pablo Medina;https://www.brew-o-matic.com.ar/#/recipe/clone/Rubiasuave-5249cb644b1137475300016a-1725589885376
Pseudo Lager13-9-24;01B - American Lager (BJCP 2015);1.042;4.51;18.2;3.865562688814975;50;2024-09-13;Pablo Medina;https://www.brew-o-matic.com.ar/#/recipe/clone/PseudoLager13924-5249cb644b1137475300016a-1726231896337
Rubia suave;01B - American Lager (BJCP 2015);1.046;4.94;10.8;3.9844113879964778;300;2018-12-29;Pablo Medina;https://www.brew-o-matic.com.ar/#/recipe/clone/Rubiasuave-5249cb644b1137475300016a-1546110959587
Standar;01B - American Lager (BJCP 2015);1.035;3.81;15.3;6.720358196261747;20;2018-10-24;Lupuloboy;https://www.brew-o-matic.com.ar/#/recipe/clone/Standar-59849a778fb81f1d00371e21-1533908103556
american lager;01B - American Lager (BJCP 2015);1.048;5.22;13.3;3.368498941376962;55;2024-04-02;Kuma;https://www.brew-o-matic.com.ar/#/recipe/clone/americanlager-5b167e2714eaac0004623e35-1710340759967
american lager hop;01B - American Lager (BJCP 2015);1.048;5.22;13.3;3.368498941376962;55;2024-04-02;Kuma;https://www.brew-o-matic.com.ar/#/recipe/clone/americanlagerhop-5b167e2714eaac0004623e35-1712029730465
lager;01B - American Lager (BJCP 2015);1.046;5;10.9;3.5559964860049593;1000;2019-11-28;Nicolas Monzon;https://www.brew-o-matic.com.ar/#/recipe/clone/lager-554fe4923ae611045f00001a-1574245684273
lager;01B - American Lager (BJCP 2015);1.051;5.01;15.3;3.8252938889148154;22;2020-05-08;juan screpnek;https://www.brew-o-matic.com.ar/#/recipe/clone/lager-5da49bd372ffb70004bc86f9-1581623493525
15+1;01C - Cream Ale (BJCP 2015);1.068;6.68;1.4;6.438925293406037;750;2026-07-31;Raul Andres Lionetti;https://www.brew-o-matic.com.ar/#/recipe/clone/151-598d9f4e5ad2991d00d485e2-1785533712916
Angualasto Cream Ale;01C - Cream Ale (BJCP 2015);1.045;4.42;14.6;4.397866339483602;75;2018-03-31;Enzo Ferreri;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAle-59571eb24d2fac1d00d8e141-1506379589261
Apollo Cream Ale;01C - Cream Ale (BJCP 2015);1.051;5.01;48.5;7.128854787478538;19;2017-05-01;Rodrigo Ronco;https://www.brew-o-matic.com.ar/#/recipe/clone/CreamAleHorneada-58ab2400bd277a1d0012f90f-1492362495641
Atlantic Cream;01C - Cream Ale (BJCP 2015);1.053;5.21;19.1;5.903858792674501;20;2019-09-16;Gustavo Chandía;https://www.brew-o-matic.com.ar/#/recipe/clone/AtlanticCream-5c4631987a352e0004b5aaaa-1560526667667
BS_Cream Ale;01C - Cream Ale (BJCP 2015);1.046;4.52;15.5;3.4111616781475638;20;2017-02-24;Birra Store;https://www.brew-o-matic.com.ar/#/recipe/clone/BSCreamAle-57af058a4ad8541d000ad1d1-1487941854136
Birrex de pileta;01C - Cream Ale (BJCP 2015);1.048;4.72;10.8;4.07804897480006;19;2020-01-28;juan screpnek;https://www.brew-o-matic.com.ar/#/recipe/clone/Birrexdepileta-5da49bd372ffb70004bc86f9-1575460336097
CREAM ALE;01C - Cream Ale (BJCP 2015);1.054;5.31;24;6.3291773688186;20;2017-07-22;Carlos Alcat;https://www.brew-o-matic.com.ar/#/recipe/clone/CREAMALE-592f50ba2818cc1d00daf46c-1500683023256
CREAM ALE;01C - Cream Ale (BJCP 2015);1.053;5.42;14.8;4.543429055277261;10;2021-09-03;Marcos ACUÑA;https://www.brew-o-matic.com.ar/#/recipe/clone/CREAMALE-5bf0c119d11dab0004ba2190-1552091554243
CREAM ALE;01C - Cream Ale (BJCP 2015);1.05;4.91;10.2;5.6151919171556;22;2021-09-29;Justo griguoli;https://www.brew-o-matic.com.ar/#/recipe/clone/CREAMALE-5f452671f4814f0004845317-1632881543702
CREAM ALE - RUBIA DIVINA 50L;01C - Cream Ale (BJCP 2015);1.044;4.32;15.6;5.2018208679758455;50;2022-11-11;Pablo Lapiy;https://www.brew-o-matic.com.ar/#/recipe/clone/CREAMALEPRUEBA1-5d335401022bc80004c60559-1668200290597
CREAM ALE R.BEER;01C - Cream Ale (BJCP 2015);1.046;4.4;12.2;3.9206208691852344;25;2021-05-19;Rodriguez Beer;https://www.brew-o-matic.com.ar/#/recipe/clone/CREAMALERBEER-5ad520484383a900042f8346-1605110928950
